Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
28208,41500,U22,,,,
28208,41520,U22,,,,
28208,41980,C13,,,,
28208,43203,C13,,,,
28209,43203,C13,,,,
28210,41510,U22,,,,
28210,41980,C13,,,,
28210,43203,C13,,,,
28211,41500,U22,,,,
28211,41510,U22,,,,
28211,41520,U22,,,,
28211,41920,U50,,,,
28211,41980,C13,,,,
28211,43203,C13,,,,
28211,43212,C13,,,,
28211,43214,C13,,,,
28212,43203,C13,,,,
28213,43203,C13,,,,
28213,43214,C13,,,,
28214,43203,C13,,,,
28215,41980,C13,,,,
28215,43203,C13,,,,
28217,43203,C10,,,,
28218,43203,C13,,,,
28220,43204,C13,,,,
28221,43203,C13,,,,
28222,43203,C13,,,,
28223,43213,C13,,,,
29101,41922,U50,,,,
29101,41923,U50,,,,
29102,11112,,,,,
29102,41500,U22,,,,
29102,41510,U22,,,,
29102,41520,U22,,,,
29102,41920,U50,,,,
29102,41921,U50,,,,
29102,41922,U50,,,,
29102,41923,U50,,,,
29102,41980,U50,,,,
29102,43203,C13,,,,
29102,43214,U97,,,,
29102,43215,C13,,,,
29107,41921,U50,,,,
29107,41922,U50,,,,
29107,41923,U50,,,,
29107,41980,U97,,,,
29107,43214,U97,,,,
29114,41510,U22,,,,
29114,41920,U50,,,,
29114,41921,U50,,,,
29115,41923,U50,,,,
29130,11112,,,,,
29130,41500,U22,,,,
29130,41510,U22,,,,
29130,41923,U50,,,,
29130,43203,C13,,,,
29131,41510,U22,,,,
29131,43203,C13,,,,
29131,43214,C13,,,,
29134,41280,U97,,,,
29134,41500,U22,,,,
29134,41510,U22,,,,
29134,41980,U97,,,,
29135,11112,,,,,
29135,41280,U97,,,,
29135,41500,U22,,,,
29135,41510,U22,,,,
29135,41520,U22,,,,
29135,41980,U97,,,,
29135,46300,U97,,,,
29138,41921,U50,,,,
29138,41922,U50,,,,
29138,41923,U50,,,,
29138,41980,U97,,,,
29138,44301,U97,,,,
31100,41500,U22,,,,
31100,41510,U22,,,,
31100,41520,U22,,,,
31100,41532,U22,,,,
31100,41540,U22,,,,
31100,41953,U97,,,,
31100,41980,C11,,,,
31100,43215,C11,,,,
31100,45110,21F,,,,
31100,45114,U97,,,,
31120,41500,U22,,,,
31120,41510,U22,,,,
31120,45110,21F,,,,
31200,41500,U22,,,,
31200,41510,U22,,,,
31200,41520,U22,,,,
31200,41980,C11,,,,
31200,43209,C11,,,,
31200,43214,C11,,,,
31200,43215,C11,,,,
31300,41500,U22,,,,
31300,41510,U22,,,,
31300,41911,A40,,,,
31300,41920,U50,,,,
31300,41931,U11,,,,
31300,41953,U97,,,,
31300,41980,C11,,,,
